Result,Tweet
negative,"@AmericanAir EARLY flight tomorrow out of BWI, but the @Orioles won today! Can I get a high five on my flight? BWI-DFW"
positive,"RT @BasebaIlKing: Mark trumbo hits the first walkoff homerun of the 2017 season 😳🔥

 https://t.co/PPEqlpeviz"
positive,"On Opening Day, thousands of Baltimore Orioles fans took MTA Light Rail to get to the game. https://t.co/sMFGdUcja6… https://t.co/i43mFl0rpt"
positive,RT @iLetsPlayBall: Machado from his knees 🔥🔥🔥 https://t.co/Plx9Ew0MBl
negative,RT @Orioles: .@RBIGAME hits shelves today &amp; #OpeningDay is approaching so we are giving away a one-of-a-kind #Orioles console. RT to win! h…
positive,"RT @Orioles: #MannyMagic, y'all. Hat tip to @CrushD19 with the pick. #Birdland https://t.co/gVzLCcWMzE"
negative,RT @MLBNetwork: RETWEET for a chance at a signed Bill Ripken @Rangers or @Orioles hat and catch him right now on #MLBTonight! #CapsOn https…
positive,RT @real_EvanYoung: Strong #OpeningDay - wins for both the @Orioles and @Nationals &amp; a walk-off extra inning HR.
negative,Orioles twitter has some weird ass feet
positive,"RT @MLBStatoftheDay: Mark Trumbo clubs the first #walkoff HR of the 2017 season.

It’s also the first #OpeningDay #walkoff HR in @Orioles h…"
positive,"RT @BasebaIlKing: Mark trumbo hits the first walkoff homerun of the 2017 season 😳🔥

 https://t.co/PPEqlpeviz"
negative,"RT @Sportsnet: Mark Trumbo's 11th-inning homer lifts #Orioles over #BlueJays.

https://t.co/flicUnDAKf https://t.co/rNBgXkdR42"
negative,"RT @SNFaizalKhamisa: The Orioles have been holding on to that celebration since October. Gatorade showers, and all for win 1 of the season!…"
positive,"RT @Orioles: #MannyMagic, y'all. Hat tip to @CrushD19 with the pick. #Birdland https://t.co/gVzLCcWMzE"
positive,RT @Orioles: RECAP: @Mtrumbo44’s #walkoff homer in the 11th seals #OsOpener win! https://t.co/5Z2S9l6jjH https://t.co/XsdptxI1br
positive,RT @Orioles: RECAP: @Mtrumbo44’s #walkoff homer in the 11th seals #OsOpener win! https://t.co/5Z2S9l6jjH https://t.co/XsdptxI1br
negative,"Orioles cash in and bring us the money to start our day, $10,000 play currently in play lets get that money💸💸💸DM to… https://t.co/WA8o5QjKBd"
negative,#Orioles #birdland #OpeningDay ⚾️💗 https://t.co/A1q3NHHNK0
negative,RT @MLBNetwork: RETWEET for a chance at a signed Bill Ripken @Rangers or @Orioles hat and catch him right now on #MLBTonight! #CapsOn https…
positive,Blue Jays start with 11-inning loss. https://t.co/mXBGmLxbZ8
positive,"RT @MLBStatoftheDay: Mark Trumbo clubs the first #walkoff HR of the 2017 season.

It’s also the first #OpeningDay #walkoff HR in @Orioles h…"
positive,"RT @Orioles: #Orioles Magic. 
The Orioles have now won 7 consecutive #OpeningDay matchups. #Birdland https://t.co/OVeath1paR"
negative,"RT @Ravens: We're lighting it up orange in support of the birds. 

Go get 'em, @Orioles. 
#OpeningDay https://t.co/9Xmxd308V4"
negative,"RT @MLB: How did the 7th straight #OpeningDay win go for the @Orioles?

#Walkoff! https://t.co/4s1fSEIAWs https://t.co/BEjSws4lMU"
positive,"RT @Orioles: #MannyMagic, y'all. Hat tip to @CrushD19 with the pick. #Birdland https://t.co/gVzLCcWMzE"
positive,"RT @MLBStatoftheDay: Mark Trumbo clubs the first #walkoff HR of the 2017 season.

It’s also the first #OpeningDay #walkoff HR in @Orioles h…"
positive,"RT @NBC29: Former #UVa pitcher Tyler Wilson gets the win on Opening Day as the Orioles top Toronto 3-2 in 11 innings. Wilson: 0 Runs 1 IP,…"
