Result,Tweet
negative,@Jezebel Wow big congrats to her! (Smh)
negative,@Jezebel Should've went and handed him a Pepsi!
negative,@Jezebel Unbelievable sacrifice on her part.
negative,@Jezebel Propaganda for Caitlyn's book &amp; Kendall's Pepsi add.  Never happened!  Trump's narcissism prevents it. Cai… https://t.co/BFVEqcTs9M
negative,@Jezebel She can sit down now  https://t.co/hspt5FXjr0
positive,@Jezebel She voted for him so I don't see why she's pissed at Donald for doing everything he said he would but thank god she took a stand
negative,@Jezebel Chile fuck her. Seriously  https://t.co/H8LzRFlYqC
negative,"@Jezebel WTF ever on the brave crap. Caitlin didn't take any stand for LGBT rights, she voted for Trump like the old white man she once was"
negative,"@Jezebel Shit she put Rosa Parks, Fannie Lou Hamer, Coretta Scott King &amp; Gloria Steinem to shame. 🙄🙄🙄🙄🙄"
negative,@Jezebel She's a republican
positive,@Jezebel This is NOT activism. It's merely not playing golf or schmoozing on the golf course.
positive,"@Jezebel ""took a stand"" is a stretch and is giving brownie points for the bare minimum 🙄🙄"
negative,@Jezebel Attention whore.
negative,@Jezebel After publicaly endorsing his presidency - I think not
negative,@Jezebel Oh Wooooow! Really? https://t.co/ueNpXUHhAa
negative,@Jezebel this is soo inspiring
negative,@Jezebel Wooooo! How BRAVE!
negative,@Jezebel her bravery is captivating https://t.co/Al8Lu7jiTg
positive,@Jezebel I'm sure it took a lot of balls from her to do that !
positive,"@Jezebel So instead of discussing problems he feels needs to be adressed he ""took a stand"" and did nothing for the problems she wants fixed"
positive,@Jezebel Took a lot of balls to make that decision...
negative,@Jezebel But what about texting and driving??
negative,@Jezebel she didn't want her pussy grabbed hahahahaha
positive,@Jezebel What if Jenner's transformation was a ruse to improve his/her golf game by playing from the ladies' tees?… https://t.co/ofbrT4hCkX
positive,@Jezebel Took a stand...? You need to reword this as just She declined a game of golf. Nobody took a stand to anything.
positive,@Jezebel Why is he playing golf though 🤔
negative,@Jezebel I see a dude.
negative,@Jezebel She could have taken a *real* stand and not voted 4 him in the 1st place. This is a callow publicity grab. #checkyourself #resist
negative,"@Jezebel Caitlyn's got that Bruce Jenner 300ft drive, watch out on the course Donald"
negative,@Jezebel Wow what a hero turned down playing golf someone give him another award
negative,@Jezebel Omg what a powerful woman!!!! Can she get a noble prize!!!! https://t.co/p7gj4IRkv2
negative,@Jezebel Lets give pespi a call
negative,@Jezebel Shut up
negative,@Jezebel Buckle up buckaroo
negative,@Jezebel OH FFS? GET A LIFE! 😂😂😂😂
negative,@Jezebel so over this person 🙄 @Caitlyn_Jenner
negative,@Jezebel Can that negate her vote for him somehow?
negative,@Jezebel Where's his act of bravery ? What did I miss ?
negative,@Jezebel she just saved America
negative,@Jezebel If only she took a stand against him on the poll...bitch gets no forgiveness
negative,@Jezebel She wants a cookie for that?
negative,@Jezebel What is she taking a stand against??? Honestly... Trump is the one Republican who isn't against the LGBT c… https://t.co/KaW7L6iSa1
negative,@Jezebel The best part about this article @bobbyfinger https://t.co/rKcBt5CAo2
negative,@Jezebel Yay great !now fuck off ye dope
negative,@Jezebel Takes some balls that 👀
positive,@Jezebel He's such an inspiration to everyone
negative,@Jezebel but she will still do Anti-LBGTQ Fox News.. https://t.co/IpqYoKLx7Z
negative,"@Jezebel She's full of shit, now that everyone sees what a sellout joke she is she wants to try and fool us."
negative,@Jezebel Bitch please.
negative,@Jezebel Cringe
negative,"@Jezebel So stunning, so brave! ⛳️👏🏾
https://t.co/RnSjysGnSs"
negative,@Jezebel But he still voted for him sooooooo 😂. Fuck Bruce
positive,"@Jezebel She should golf while she can, because she's still getting the fucking wall. Might as well enjoy it while it lasts, traitor."
negative,"@Jezebel Wow, when will Harvey Milk"
negative,"@Jezebel there's a joke about white privilege here, but I don't feel like making it myself"
negative,"@Jezebel The ""It"" of the year 👍"
negative,@Jezebel Well she lost her club and balls so she couldn't play anyway
negative,@Jezebel Wow she really told him
negative,@Jezebel Caitlyn doesn't have any use for clubs anymore.
negative,"@Jezebel Is she is only upset about the LGBT treatment? Education, Environment, HealthCare &amp; All Basic Human Rights… https://t.co/f1bGNdolgM"
negative,"@Jezebel Oh, yeah, that took real guts... *rolls eyes*"
negative,"@Jezebel Heroic, totally deserves woman of the year again"
negative,@Jezebel Big freakin' deal. She voted for him.
positive,@Jezebel That's taking a stand? No. no it isn't. Taking a stand would be actively working to oppose policies by Tru… https://t.co/BQKXDyynXA
negative,"@Jezebel so when an olive branch is extended…..

Silly Bruce."
negative,@Jezebel reading this tweet chain gave me cancer
negative,@Jezebel A stand
negative,@Jezebel Ms Jenner is so problematic. Her stance are merely to sell her book.
negative,@Jezebel Um... yay? ❓🤔 https://t.co/sChClCWX62
negative,@Jezebel You mean after openly supporting a racist first ?!! Maybe the backlash frm the LGBTQ community had something to do with it ..
negative,@Jezebel Trump let this dude use the ladys room... It's foolish to think a N.Y. Billionaire gives a fuck about Chri… https://t.co/qKksRz69Pz
positive,@Jezebel Send his ass to afghan if you wanna be brave.Smh stupid people making other stupid people famous.
negative,@Jezebel Since when does this ugly trans get praise for being brave?What about our soldiers who die fighting just f… https://t.co/vzEaaK2FXO
negative,@Jezebel She males suck at golf
positive,@Jezebel This is way too petty to be regarded as taking a stand. She helped him get elected.
negative,"@Jezebel Lol is that a joke, Jenner is a fuckin joke"
negative,@Jezebel OMG SHES BRAVE https://t.co/7BdHyuiM3w
negative,@Jezebel Who gives a shit
negative,@Jezebel How brave of him 🙄
negative,@Jezebel too little too late.
negative,@Jezebel @EdSmith313 What ever happened to that auto accident ?
negative,@Jezebel She's an idiot.
