Result,Tweet
positive,@sarahnferris IT'S A TRAP! Or Straight up mafia negotiation-WE DO NOT NEGOTIATE WITH DOMESTIC TERRORISTS! 👎… https://t.co/tvHuK2LnxJ
negative,"@sarahnferris Dems should take that ""deal."" With one difference: Make trump pay for his stooopid wall."
negative,"@sarahnferris Any explanation where $140+ Billion ($70B for wall, $70B for Obamacare) will come from?"
positive,"@sarahnferris Fuck you, Mulvaney. Skip the wall &amp; put $2 toward healthcare."
negative,@sarahnferris I hope the laughed in his face and told him to fuck off
negative,"@sarahnferris The art of the deal? Things are different when you've got your own bank, eh! HEAPS better."
negative,"@sarahnferris Watch, and GOP will say, ""See we tried to compromise and the Dems played politics..."" https://t.co/rtMJRuP858"
negative,@sarahnferris Peoples health for a wall. Nice.
positive,@sarahnferris My Dad. Currently in Chemo. He told me 2 tell Twitter he said Trump can go f🐝ck himself &amp; that he shl… https://t.co/uLIapGD62K
negative,@sarahnferris Jesus Fuck.  Who did the math on that?  Graduates of the American educational system?
positive,@sarahnferris So American lives are worth $1 a head? Holding lives hostage to build a border wall. Have these peopl… https://t.co/Rq8TZ8WR7u
negative,@sarahnferris This can't be real????
negative,"@sarahnferris @realDonaldTrump - no, thanks. @SenSchumer &amp; @NancyPelosi will shut you down on every budgetary front."
positive,"@sarahnferris Looks like it'll be a very, very small wall"
negative,@sarahnferris Mexico is not paying for this fking wall Mr. President.
negative,@sarahnferris If I were the democrats.I wouldn't work with this Republican party at all. I would block n go against… https://t.co/8ihye0MAn6
positive,"@sarahnferris Let's build a wall that costs what Universal Healthcare costs, and make Mexico, No, make the 1% pay for it."
negative,@sarahnferris @melbakit Forget about the ridiculous damn wall!😤
positive,@sarahnferris I can't stop laughing !
positive,@sarahnferris These people are f'ing insane. Screw the wall. It's a ridiculous waste of money.
negative,@sarahnferris That sounds like a terrible deal. But there is a ratio at which I'd do it. Maybe $100 to $1?
negative,@sarahnferris Your health is just another brick in the wall. https://t.co/EMrcIfTuxc
negative,@sarahnferris Don't give them anything for that stupid wall. If Mexico doesn't pay for it. No need to have it. A lo… https://t.co/osx6iE6rng
positive,@sarahnferris #ThingsToBeAshamedOf --&gt; Any Dem that takes the deal.
negative,@sarahnferris How does that square with Trump promise to repeal Obamacare?
positive,"@sarahnferris You mean he will hold millions of #healthcare policyholders hostage for the wall that ""MEXICO is payi… https://t.co/fPkRHXm9aP"
negative,@sarahnferris Not a terrible idea. Compromises are good.
negative,@sarahnferris Dems should say no thanks.They have nothing more to lose and everything to gain.
positive,@sarahnferris What a deal maker
negative,"@sarahnferris ""maybe they could just not buy the latest iPhones to pay for the wall"" -sorta like something @jasoninthehouse would say"
positive,@sarahnferris Holy shit. The gall to put our lives in the balance like this. @realDonaldTrump is a monster.
positive,@sarahnferris how about we forget the wall and do some useful infrastructure
positive,@sarahnferris Ransom a non-problem for an issue that affects us all.
negative,@sarahnferris Absolutely fucking not.
negative,@sarahnferris Wow whatever happened to Federalism?
positive,"@sarahnferris @ClinicianAction 911 there's a ""huge"" dumbass occupying the White House.    #impeachment"
negative,@sarahnferris The full story is even more absurd. ABSURD. https://t.co/I2lrVVmvWz
positive,"@sarahnferris Dick Mulvaney is just that, a dick."
negative,@sarahnferris How about this: $3 million from your pocket for every golf day and then fuck off forever
negative,@sarahnferris ANY DEMS who colludes with #Trump will be primaried and removed from office! #NoBanNoWall
negative,@sarahnferris Is this a friggin joke? I can't believe these idiots
negative,@sarahnferris Mulvaney is disgusting
positive,@sarahnferris Why is it for the Democrats to strike a deal how he pays for his wall? He guaranteed that Mexico will pay for it.
negative,"@sarahnferris @healthfunding Sure. Winning argument: ""we had to shut down the government so we could pay for the wa… https://t.co/uIeJUBJwSV"
positive,"@sarahnferris if trump shutsdwn govt to force americn taxpyrs to fund the wall (which he said mex will pay for), we… https://t.co/mZYXxRiRjb"
negative,@sarahnferris That's just crazy
positive,@sarahnferris Let's waste resources to prove our tribe is superior. https://t.co/G57B9hYXUI
positive,"@sarahnferris Dems, don't do it! This is BS."
negative,@sarahnferris Mulvaney seems to have a history in real estate. https://t.co/ZxSQ0E8V58
negative,@sarahnferris We already know Mulvaney is an idiot why does he insist on providing more proof?
negative,@sarahnferris Mexico is paying for the wall. We don't need to use US tax dollars. @realDonaldTrump told us so. Over… https://t.co/42rSyTO1xM
negative,@sarahnferris These fuckers are saying cancer patients will die if they don't get money for  their wall. Awful pieces of shit.
